,ranking,support
0,206,False
1,72,False
2,1,True
3,130,False
4,1,True
5,1,True
6,1,True
7,1,True
8,1,True
9,1,True
10,15,False
11,1,True
12,153,False
13,1,True
14,152,False
15,1,True
16,1,True
17,1,True
18,1,True
19,11,False
20,1,True
21,1,True
22,97,False
23,16,False
24,1,True
25,1,True
26,1,True
27,1,True
28,1,True
29,29,False
30,1,True
31,1,True
32,1,True
33,1,True
34,52,False
35,151,False
36,1,True
37,1,True
38,1,True
39,1,True
40,1,True
41,1,True
42,1,True
43,1,True
44,59,False
45,1,True
46,1,True
47,1,True
48,1,True
49,1,True
50,82,False
51,1,True
52,1,True
53,1,True
54,1,True
55,1,True
56,1,True
57,1,True
58,1,True
59,1,True
60,1,True
61,1,True
62,1,True
63,1,True
64,1,True
65,1,True
66,1,True
67,1,True
68,1,True
69,1,True
70,1,True
71,1,True
72,1,True
73,1,True
74,1,True
75,1,True
76,1,True
77,1,True
78,1,True
79,1,True
80,1,True
81,1,True
82,1,True
83,176,False
84,1,True
85,50,False
86,1,True
87,1,True
88,1,True
89,1,True
90,1,True
91,24,False
92,1,True
93,1,True
94,166,False
95,1,True
96,1,True
97,1,True
98,1,True
99,1,True
100,1,True
101,21,False
102,8,False
103,95,False
104,1,True
105,1,True
106,1,True
107,17,False
108,1,True
109,66,False
110,1,True
111,1,True
112,36,False
113,2,False
114,32,False
115,163,False
116,1,True
117,1,True
118,1,True
119,1,True
120,105,False
121,1,True
122,1,True
123,1,True
124,1,True
125,28,False
126,1,True
127,1,True
128,1,True
129,23,False
130,1,True
131,1,True
132,1,True
133,1,True
134,1,True
135,1,True
136,1,True
137,1,True
138,31,False
139,1,True
140,1,True
141,1,True
142,1,True
143,1,True
144,1,True
145,145,False
146,226,False
147,51,False
148,17,False
149,175,False
150,119,False
151,186,False
152,141,False
153,1,True
154,1,True
155,85,False
156,42,False
157,74,False
158,87,False
159,1,True
160,86,False
161,97,False
162,14,False
163,185,False
164,6,False
165,220,False
166,225,False
167,174,False
168,216,False
169,225,False
170,203,False
171,188,False
172,181,False
173,152,False
174,70,False
175,169,False
176,226,False
177,216,False
178,217,False
179,131,False
180,222,False
181,196,False
182,38,False
183,227,False
184,148,False
185,10,False
186,130,False
187,160,False
188,108,False
189,76,False
190,195,False
191,195,False
192,151,False
193,156,False
194,135,False
195,133,False
196,67,False
197,18,False
198,69,False
199,187,False
200,171,False
201,182,False
202,1,True
203,144,False
204,29,False
205,1,True
206,93,False
207,134,False
208,1,True
209,118,False
210,71,False
211,204,False
212,1,True
213,79,False
214,109,False
215,136,False
216,177,False
217,161,False
218,1,True
219,1,True
220,97,False
221,1,True
222,20,False
223,157,False
224,152,False
225,85,False
226,201,False
227,41,False
228,177,False
229,197,False
230,20,False
231,216,False
232,153,False
233,76,False
234,138,False
235,173,False
236,100,False
237,205,False
238,125,False
239,205,False
240,176,False
241,43,False
242,176,False
243,136,False
244,217,False
245,178,False
246,194,False
247,74,False
248,1,True
249,48,False
250,157,False
251,96,False
