,ranking,support
0,239,False
1,160,False
2,17,False
3,77,False
4,52,False
5,11,False
6,42,False
7,4,False
8,1,True
9,18,False
10,30,False
11,10,False
12,203,False
13,214,False
14,224,False
15,1,True
16,1,True
17,149,False
18,39,False
19,1,True
20,18,False
21,153,False
22,186,False
23,126,False
24,1,True
25,1,True
26,106,False
27,21,False
28,1,True
29,93,False
30,4,False
31,17,False
32,4,False
33,13,False
34,173,False
35,215,False
36,1,True
37,8,False
38,1,True
39,1,True
40,1,True
41,1,True
42,1,True
43,2,False
44,188,False
45,2,False
46,1,True
47,6,False
48,1,True
49,1,True
50,78,False
51,10,False
52,1,True
53,30,False
54,92,False
55,1,True
56,21,False
57,1,True
58,1,True
59,5,False
60,33,False
61,1,True
62,1,True
63,1,True
64,6,False
65,60,False
66,1,True
67,1,True
68,8,False
69,13,False
70,1,True
71,1,True
72,10,False
73,1,True
74,6,False
75,1,True
76,1,True
77,26,False
78,1,True
79,32,False
80,6,False
81,12,False
82,121,False
83,230,False
84,5,False
85,78,False
86,4,False
87,1,True
88,35,False
89,22,False
90,1,True
91,7,False
92,1,True
93,1,True
94,50,False
95,53,False
96,1,True
97,1,True
98,19,False
99,14,False
100,50,False
101,40,False
102,40,False
103,179,False
104,49,False
105,27,False
106,11,False
107,243,False
108,70,False
109,91,False
110,80,False
111,2,False
112,156,False
113,132,False
114,79,False
115,81,False
116,11,False
117,18,False
118,12,False
119,8,False
120,150,False
121,68,False
122,1,True
123,1,True
124,3,False
125,28,False
126,1,True
127,4,False
128,20,False
129,38,False
130,23,False
131,7,False
132,13,False
133,12,False
134,2,False
135,52,False
136,10,False
137,106,False
138,86,False
139,1,True
140,1,True
141,7,False
142,6,False
143,1,True
144,13,False
145,91,False
146,74,False
147,35,False
148,1,True
149,177,False
150,139,False
151,210,False
152,133,False
153,24,False
154,166,False
155,29,False
156,229,False
157,141,False
158,129,False
159,135,False
160,166,False
161,123,False
162,217,False
163,137,False
164,202,False
165,205,False
166,195,False
167,186,False
168,40,False
169,93,False
170,12,False
171,67,False
172,150,False
173,56,False
174,145,False
175,210,False
176,42,False
177,148,False
178,57,False
179,141,False
180,86,False
181,43,False
182,205,False
183,109,False
184,44,False
185,83,False
186,83,False
187,98,False
188,43,False
189,172,False
190,49,False
191,83,False
192,56,False
193,154,False
194,135,False
195,69,False
196,257,False
197,64,False
198,106,False
199,139,False
200,82,False
201,38,False
202,61,False
203,90,False
204,76,False
205,75,False
206,177,False
207,188,False
208,110,False
209,197,False
210,271,False
211,207,False
212,258,False
213,258,False
214,253,False
215,255,False
216,139,False
217,259,False
218,25,False
219,127,False
220,93,False
221,20,False
222,64,False
223,15,False
224,197,False
225,113,False
226,119,False
227,66,False
228,99,False
229,46,False
230,68,False
231,263,False
232,176,False
233,63,False
234,61,False
235,177,False
236,84,False
237,96,False
238,254,False
239,95,False
240,78,False
241,118,False
242,205,False
243,133,False
244,7,False
245,269,False
246,74,False
247,126,False
248,54,False
249,104,False
250,137,False
251,36,False
252,76,False
253,97,False
254,89,False
255,59,False
256,133,False
257,145,False
258,90,False
259,212,False
260,259,False
261,249,False
262,246,False
263,220,False
264,243,False
265,272,False
266,278,False
267,81,False
268,94,False
269,142,False
270,71,False
271,26,False
272,172,False
273,236,False
274,135,False
275,67,False
276,114,False
277,107,False
278,87,False
279,72,False
280,222,False
281,157,False
282,139,False
283,62,False
284,112,False
285,83,False
286,142,False
287,252,False
288,103,False
289,205,False
290,160,False
291,202,False
292,209,False
293,156,False
294,275,False
295,126,False
296,65,False
297,157,False
298,202,False
299,87,False
300,96,False
301,250,False
302,150,False
303,76,False
304,212,False
305,164,False
306,59,False
307,126,False
308,272,False
309,254,False
310,245,False
311,255,False
312,260,False
313,268,False
314,250,False
315,277,False
316,124,False
317,123,False
318,119,False
319,222,False
320,89,False
321,134,False
322,268,False
323,175,False
324,52,False
325,109,False
326,110,False
327,162,False
328,127,False
329,236,False
330,151,False
331,111,False
332,145,False
333,163,False
334,188,False
335,228,False
336,210,False
337,145,False
338,153,False
339,149,False
340,189,False
341,236,False
342,140,False
343,276,False
344,240,False
345,225,False
346,211,False
347,156,False
348,184,False
349,150,False
350,169,False
351,41,False
352,46,False
353,201,False
354,162,False
355,196,False
356,225,False
357,265,False
358,261,False
359,262,False
360,274,False
361,267,False
362,266,False
363,270,False
364,243,False
365,120,False
366,79,False
367,36,False
368,170,False
369,141,False
370,37,False
371,270,False
372,73,False
373,84,False
374,191,False
375,147,False
376,95,False
377,163,False
378,259,False
379,62,False
380,145,False
381,138,False
382,202,False
383,148,False
384,231,False
385,249,False
386,129,False
387,109,False
388,234,False
389,189,False
390,196,False
391,129,False
392,259,False
393,62,False
394,98,False
395,151,False
396,206,False
397,169,False
398,136,False
399,258,False
400,120,False
401,121,False
402,178,False
403,149,False
404,191,False
405,162,False
406,252,False
407,247,False
408,190,False
409,269,False
410,268,False
411,266,False
412,247,False
413,277,False
414,49,False
415,33,False
416,90,False
417,142,False
418,77,False
419,183,False
420,266,False
421,32,False
422,43,False
423,58,False
424,65,False
425,59,False
426,110,False
427,192,False
428,75,False
429,97,False
430,147,False
431,155,False
432,186,False
433,229,False
434,256,False
435,62,False
436,168,False
437,139,False
438,183,False
439,171,False
440,223,False
441,274,False
442,64,False
443,119,False
444,109,False
445,216,False
446,164,False
447,191,False
448,223,False
449,50,False
450,46,False
451,242,False
452,134,False
453,165,False
454,235,False
455,274,False
456,277,False
457,273,False
458,249,False
459,277,False
460,275,False
461,240,False
462,273,False
463,151,False
464,245,False
465,237,False
466,264,False
467,276,False
468,252,False
469,273,False
470,215,False
471,261,False
472,256,False
473,242,False
474,197,False
475,226,False
476,265,False
477,226,False
478,255,False
479,224,False
480,273,False
481,255,False
482,262,False
483,271,False
484,238,False
485,264,False
486,229,False
487,277,False
488,272,False
489,269,False
490,278,False
491,255,False
492,207,False
493,273,False
